Día,Hermandad,Num_Pasos,Iglesia de salida,Hora de salida,Hora de llegada
Viernes de Dolores,Hermandad de Pino Montano,2,Isidro Labrador,17:45,02:15
Viernes de Dolores,Hermandad de Bellavista,2,Sagrado Corazón de Jesús,18:30,01:30
Viernes de Dolores,Hermandad de La Misión,2,San Antonio María Claret,18:15,01:00
Viernes de Dolores,Hermandad de La Sed,2,San Juan Bosco,20:00,00:30
Viernes de Dolores,Hermandad del Cristo de la Corona,1,Parroquia del Sagrario,19:45,23:45
Viernes de Dolores,Hermandad de Bendición y Esperanza,2,Jesús Obrero,17:00,02:00
Viernes de Dolores,Hermandad de Padre Pío,2,Buen Pastor y San Juan de la Cruz,15:10,01:30
Domingo de Ramos,La Borriquita,2,Iglesia Colegial del Divino Salvador,14:30,19:00
Domingo de Ramos,Hermandad de Jesús Despojado,2,Capilla del Mayor Dolor,14:20,23:00
Domingo de Ramos,Hermandad de la Paz,2,San Sebastián,13:00,01:00
Domingo de Ramos,Hermandad de la Cena,3,Ntra. Sra. de Consolación (Los Terceros),16:15,23:40
Domingo de Ramos,Hermandad de San Roque,2,San Roque,16:15,23:40
Domingo de Ramos,Hermandad de la Amargura,2,San Juan Bautista,18:25,01:05
Domingo de Ramos,Hermandad de La Estrella,2,Capilla de la Estrella,17:45,03:30
Domingo de Ramos,Cofradía del Amor,2,Iglesia Colegial del Divino Salvador,20:50,01:25
Lunes Santo,Hermandad San Pablo,2,Parroquia San Ignacio de Loyola,11:30,01:50
Lunes Santo,Hermandad de la Redención,2,Iglesia de Santiago,14:45,00:00
Lunes Santo,Hermandad de Santa Genoveva,2,Ntra. Sra. de las Mercedes y Santa Genoveva,12:25,02:10
Lunes Santo,Hermandad de Santa Marta,1,San Andrés,18:10,22:20
Lunes Santo,Hermandad de San Gonzalo,2,San Gonzalo,15:00,03:00
Lunes Santo,Hermandad La Vera Cruz,2,Capilla del Dulce Nombre de Jesús,19:35,01:00
Lunes Santo,Hermandad Las Penas,2,Capilla de San Vicente,20:00,01:55
Lunes Santo,Hermandad del Rosario,2,Capilla del Rosario,18:15,01:20
Lunes Santo,Hermandad del Museo,2,Capilla del Museo,20:40,03:15
Martes Santo,Hermandad del Cerro,2,Parroquia Ntra. Sra. de los Dolores,11:40,02:00
Martes Santo,Hermandad San Benito,3,Parroquia de San Benito,14:30,00:15
